,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
87,27607,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
88,27608,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
89,27608,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
90,27609,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
91,27609,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
92,27610,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
93,27610,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
94,27611,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
95,27611,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
96,27612,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
97,27612,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
98,27613,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
99,27613,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
100,27614,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
101,27614,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
102,27615,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
103,27615,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
104,27616,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
105,27616,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
106,27617,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
107,27617,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
108,27619,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
109,27619,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
110,27620,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
111,27620,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
112,27621,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
113,27621,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
114,27622,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
115,27622,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
116,27623,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
