,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
39177,27658,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
39728,27661,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
40279,27668,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
40830,27675,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
41381,27676,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
41932,27690,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
42483,27695,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
43034,27697,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
43585,27698,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
44136,27699,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
