zip,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
30268,33.54643,-84.722632,417060.1851851852,0.5125156953375773,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,7968.0,4627.0,58.1,7.0,54.0,1.3
30291,33.575891,-84.543792,107415.3846153846,-0.6078807528312096,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,15739.0,10852.0,68.9,7.1,151.0,1.5
30296,33.563185,-84.441151,171805.0,-0.2418700980392158,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,21592.0,14328.0,66.4,8.6,233.0,1.8
30303,33.753259,-84.389953,583777.7777777778,0.9382716049382714,"Atlanta, GA",5.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,6580.0,2704.0,41.1,17.8,111.0,5.0
30305,33.835696,-84.389116,976276.9230769232,0.1680925102219809,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,20968.0,14950.0,71.3,1.2,580.0,3.9
30306,33.789323,-84.351498,710273.4375,-0.0509327677088959,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,19989.0,15517.0,77.6,3.2,712.0,4.7
30307,33.771079,-84.3336,376081.5217391304,-0.0125978070952874,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,16729.0,12924.0,77.3,4.5,563.0,4.6
30308,33.771126,-84.378108,574987.8048780488,0.5549934469200524,"Atlanta, GA",5.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,17798.0,13945.0,78.4,3.5,605.0,4.5
30309,33.799884,-84.385805,320066.6666666666,-0.6468850397830924,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,24113.0,19286.0,80.0,2.2,718.0,3.8
30310,33.726586,-84.425995,315000.0,-0.015625,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,22620.0,14770.0,65.3,10.0,315.0,2.4
30311,33.723262,-84.475994,131723.6,-0.6371274383476744,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,28836.0,16360.0,56.7,13.2,417.0,2.9
30312,33.744725,-84.375231,564556.9620253164,0.1258148491621419,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,20516.0,15379.0,75.0,3.7,975.0,6.6
30313,33.764539,-84.397339,896055.5555555555,1.7708760683760687,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,11048.0,4900.0,44.4,12.9,81.0,1.9
30314,33.757576,-84.432245,269500.0,0.7966666666666666,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,20723.0,10188.0,49.2,11.8,175.0,1.9
30317,33.747999,-84.315586,112652.17391304346,-0.6245614035087719,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,10723.0,7866.0,73.4,5.2,308.0,4.1
30318,33.792303,-84.447862,445000.0,-0.115797714386766,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,46856.0,30020.0,64.1,6.5,1334.0,4.8
30319,33.875954,-84.334763,739176.4705882353,0.0252169165958104,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,35680.0,26473.0,74.2,2.7,1190.0,4.6
30324,33.818405,-84.358175,656285.7142857143,-0.0031211872894473,"Atlanta, GA",5.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,25413.0,20283.0,79.8,2.0,984.0,5.0
30326,33.849518,-84.363971,1067807.142857143,1.2232081632653062,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,6268.0,4913.0,78.4,4.9,120.0,2.6
30327,33.869694,-84.4173,686666.6666666666,-0.3250905691246932,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,18272.0,10965.0,60.0,3.3,456.0,4.3
30328,33.932538,-84.385947,571362.5,-0.0646132366920152,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,31880.0,22466.0,70.5,1.8,1009.0,4.6
30331,33.707455,-84.544149,261518.1739130435,-0.0028795500802923,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,51269.0,32096.0,62.6,9.8,767.0,2.7
30336,33.738366,-84.567535,187500.0,-0.0848375443090461,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,261.0,117.0,44.8,21.4,0.0,0.0
30337,33.640147,-84.450081,350060.0,0.0401454988273498,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,9858.0,6608.0,67.0,6.0,146.0,2.4
30338,33.946218,-84.318119,543990.0,0.8461247231558304,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,27348.0,18225.0,66.6,3.4,827.0,4.7
30339,33.87632,-84.46209,427500.0,-0.3914361001317523,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,21672.0,17246.0,79.6,2.9,455.0,2.7
30342,33.882179,-84.375289,885344.0,-0.1675185707569346,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,24042.0,18366.0,76.4,2.8,860.0,4.8
30349,33.622488,-84.523908,280000.0,0.1914893617021276,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,57477.0,40232.0,70.0,8.8,893.0,2.4
30350,33.980254,-84.330016,51611.76470588235,-0.8177353170015842,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,32620.0,25056.0,76.8,4.4,1065.0,4.5
30354,33.661498,-84.386895,235000.0,0.0609480812641083,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,12155.0,8422.0,69.3,8.3,182.0,2.4
33010,25.833202,-80.27872,397500.0,0.0488126649076516,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,39061.0,22276.0,57.0,5.2,385.0,1.8
33012,25.866106,-80.301115,325000.0,-0.2155299173443358,"Miami, FL",3.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,63380.0,34313.0,54.1,4.7,408.0,1.2
33013,25.86219,-80.269677,274653.8461538461,-0.328950979472589,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,27550.0,15722.0,57.1,4.4,112.0,0.7
33014,25.9031,-80.302654,526833.3333333334,0.2170238103907894,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,34802.0,20990.0,60.3,4.6,502.0,2.5
33015,25.940565,-80.31818,428490.3846153846,0.1894840591989286,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,54309.0,36324.0,66.9,5.0,663.0,1.9
33018,25.917734,-80.384416,199968.75,-0.4837359289180543,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,43761.0,30768.0,70.3,3.3,674.0,2.3
33030,25.485147,-80.510882,382625.0,0.1420706280948657,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,25103.0,16508.0,65.8,4.8,97.0,0.6
33031,25.524982,-80.500875,690000.0,-0.0308988764044944,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,5580.0,3817.0,68.4,3.6,66.0,1.8
33032,25.531517,-80.3908,392117.1875,0.0966225287982564,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,36983.0,25523.0,69.0,7.8,449.0,1.9
33033,25.481199,-80.414925,370400.0,0.0751814223512337,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,42059.0,27423.0,65.2,8.6,314.0,1.3
33034,25.274332,-80.632552,269414.6341463415,-0.5130000166618331,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,15295.0,7712.0,50.4,12.0,29.0,0.4
33035,25.409275,-80.384155,365000.0,0.0,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,11960.0,8552.0,71.5,8.2,23.0,0.3
33054,25.908575,-80.265122,167276.7857142857,0.034809608215094,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,24870.0,13224.0,53.2,9.6,248.0,2.1
33055,25.948468,-80.278855,234729.41176470587,-0.2116708482718224,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,33233.0,18594.0,56.0,5.5,440.0,2.5
33056,25.948877,-80.243582,431000.0,0.2902704586865602,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,27975.0,16418.0,58.7,11.1,364.0,2.5
33109,25.756717,-80.140066,11565724.489795918,5.77844452926941,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,392.0,153.0,39.0,0.0,0.0,0.0
33122,25.794856,-80.288375,1035000.0,-0.059090909090909,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,162.0,89.0,54.9,0.0,0.0,0.0
33125,25.783849,-80.23609,294531.25,0.0064826295460695,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,51745.0,28277.0,54.6,4.0,484.0,1.8
33126,25.7794,-80.299475,363166.6666666667,-0.1655974132498183,"Miami, FL",6.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,45566.0,28675.0,62.9,4.6,478.0,1.7
33127,25.813175,-80.205808,371642.2018348624,-0.2595186943893781,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,25056.0,14650.0,58.5,10.9,140.0,1.1
33129,25.750167,-80.190028,388750.92,-0.4060091103171837,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,11679.0,8541.0,73.1,3.6,250.0,3.0
33130,25.768524,-80.203359,433428.5714285714,0.3459998564970941,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,26191.0,16923.0,64.6,3.2,438.0,2.7
33131,25.766206,-80.182897,844736.8421052633,5.824405476819603,"Miami, FL",3.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,16367.0,13300.0,81.3,2.8,520.0,4.0
33134,25.753332,-80.270379,935000.0,0.0388888888888889,"Miami, FL",2.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,34176.0,22045.0,64.5,2.7,695.0,3.2
33135,25.766544,-80.235095,433461.5384615384,0.1220313796888804,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,33116.0,19338.0,58.4,7.6,210.0,1.2
33137,25.816281,-80.171528,1410000.0,0.1058823529411765,"Miami, FL",2.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,19642.0,14426.0,73.4,4.4,612.0,4.4
33138,25.853764,-80.178006,1991345.238095238,3.863776915724968,"Miami, FL",4.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,24688.0,16988.0,68.8,7.0,718.0,4.5
33139,25.779808,-80.1532,3761363.636363636,0.4230871495771794,"Miami, FL",5.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,34587.0,24913.0,72.0,4.0,770.0,3.2
33140,25.819714,-80.133711,1990000.0,0.0440713536201469,"Miami, FL",3.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,16472.0,10236.0,62.1,3.2,249.0,2.5
33141,25.851854,-80.138726,362272.7272727273,-0.580957948803608,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,34515.0,24834.0,72.0,3.4,544.0,2.3
33142,25.812043,-80.238614,168076.92307692306,-0.6465560583207642,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,45872.0,26551.0,57.9,9.0,275.0,1.1
33144,25.763458,-80.312667,454448.275862069,-0.0383146772031789,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,25834.0,15472.0,59.9,5.1,168.0,1.1
33145,25.753132,-80.234427,539516.1290322581,-0.0088378258948298,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,26628.0,17139.0,64.4,3.7,449.0,2.7
33146,25.72085,-80.272571,1207777.7777777778,-0.1676186467853134,"Miami, FL",2.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,13940.0,7535.0,54.1,6.0,192.0,2.7
33147,25.851225,-80.238166,1100573.076923077,3.003483421560844,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,37010.0,20965.0,56.6,9.6,166.0,0.9
33149,25.719513,-80.168541,3900000.0,0.2046332046332046,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,9737.0,5918.0,60.8,5.3,234.0,4.2
33154,25.883337,-80.131831,595000.0,-0.426954732510288,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,11390.0,6735.0,59.1,7.6,304.0,4.9
33155,25.736887,-80.310768,594285.7142857143,0.301699228587334,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,39789.0,24769.0,62.3,2.5,529.0,2.2
33156,25.668203,-80.29701,1622500.0,-0.0859154929577464,"Miami, FL",5.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,26866.0,16943.0,63.1,3.6,465.0,2.8
33157,25.606126,-80.343496,460088.2352941177,0.2600822264389626,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,52717.0,33602.0,63.7,5.9,543.0,1.7
33158,25.63884,-80.311316,847170.731707317,0.2471193882291807,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,4928.0,3020.0,61.3,4.5,82.0,2.8
33161,25.893664,-80.181539,132698.63013698632,-0.6677131450091377,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,43820.0,28694.0,65.5,8.4,161.0,0.6
33162,25.927997,-80.177175,399500.0,0.0243589743589742,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,37227.0,24413.0,65.6,6.8,117.0,0.5
33165,25.734345,-80.358271,481058.82352941175,-0.017265101263067,"Miami, FL",2.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,47563.0,28179.0,59.2,2.9,626.0,2.3
33167,25.884867,-80.239362,136857.14285714287,-0.4355609506772298,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,16093.0,9284.0,57.7,7.2,116.0,1.3
33168,25.893051,-80.209181,345000.0,-0.028169014084507,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,22686.0,14058.0,62.0,7.4,75.0,0.6
33169,25.943117,-80.214686,343865.2173913043,0.2965311311678195,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,31994.0,20213.0,63.2,6.7,374.0,2.0
33170,25.557912,-80.457897,374383.3333333333,-0.0736220247468767,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,11025.0,6190.0,56.1,8.4,19.0,0.3
33172,25.786909,-80.361253,480000.0,0.0400866738894907,"Miami, FL",4.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,36116.0,23768.0,65.8,4.0,495.0,2.2
33173,25.70232,-80.357503,490981.1320754717,0.0203521689635962,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,28081.0,17694.0,63.0,4.0,338.0,2.0
33175,25.734787,-80.406761,422511.62790697673,-0.0860765092447338,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,46329.0,27723.0,59.8,3.5,404.0,1.5
33176,25.659873,-80.358354,635957.65625,-0.0182673023705096,"Miami, FL",3.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,43570.0,28560.0,65.5,4.1,633.0,2.3
33177,25.596129,-80.404194,371800.0,0.0306123930423194,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,47269.0,28743.0,60.8,4.8,455.0,1.7
33178,25.834607,-80.422908,348698.24561403506,-0.1296278974892036,"Miami, FL",2.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,39489.0,26539.0,67.2,3.5,1049.0,4.1
33179,25.95762,-80.179998,470090.90909090906,0.0102447328599697,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,36857.0,24560.0,66.6,6.0,444.0,1.9
33180,25.960389,-80.143113,771600.0,0.343025968329974,"Miami, FL",5.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,27899.0,16569.0,59.4,5.2,295.0,1.9
33181,25.897992,-80.152331,1264007.7922077922,-0.177074564191789,"Miami, FL",4.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,16855.0,10990.0,65.2,7.4,138.0,1.4
33182,25.780654,-80.457553,225047.8260869565,-0.3689757663565092,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,14375.0,7122.0,49.5,1.4,238.0,3.4
33183,25.702563,-80.404682,505000.0,0.015075376884422,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,30789.0,19508.0,63.4,4.3,280.0,1.5
33185,25.726359,-80.450733,543453.8461538461,0.8155384132502776,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,25469.0,16528.0,64.9,2.4,390.0,2.4
33186,25.654426,-80.412156,218671.875,0.5769233574512779,"Miami, FL",3.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,55972.0,36686.0,65.5,2.8,831.0,2.3
33187,25.595896,-80.506909,630000.0,0.0956521739130433,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,15929.0,10446.0,65.6,5.4,172.0,1.7
33189,25.572213,-80.335434,464200.0,0.0795348837209302,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,19896.0,13235.0,66.5,4.6,60.0,0.5
33190,25.560027,-80.349887,341666.6666666667,-0.1033167495854062,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,12542.0,8721.0,69.5,7.4,253.0,3.1
33193,25.70077,-80.465111,450000.0,0.003657840023761,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,41323.0,27119.0,65.6,4.2,329.0,1.3
33194,25.714005,-80.583757,607500.0,0.0124999999999999,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,6584.0,3100.0,47.1,2.3,48.0,1.6
78610,30.078514,-97.838012,99925.5319148936,-0.5583617021276597,"Austin, TX",2.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,28680.0,20314.0,70.8,3.0,483.0,2.5
78613,30.503949,-97.8242,235500.0,-0.3290264885624227,"Austin, TX",8.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,61701.0,44894.0,72.8,3.4,1419.0,3.3
78617,30.147375,-97.600145,305281.25,-0.2935026552163108,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,21511.0,14323.0,66.6,5.9,73.0,0.5
78641,30.562168,-97.907817,383759.6153846154,0.1202289334713441,"Austin, TX",3.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,52943.0,37949.0,71.7,4.2,955.0,2.6
78652,30.132805,-97.874687,522043.6,0.0447131880761321,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,4672.0,3147.0,67.4,2.4,41.0,1.3
78653,30.339696,-97.523512,237647.0,-0.1836763781534018,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,16961.0,12384.0,73.0,6.2,312.0,2.7
78664,30.501927,-97.647251,390000.0,-0.0331217770725902,"Austin, TX",4.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,50494.0,38352.0,76.0,6.2,1188.0,3.3
78681,30.534424,-97.725741,785588.2352941176,1.3099907427904447,"Austin, TX",3.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,43351.0,31533.0,72.7,4.7,824.0,2.7
78701,30.270569,-97.742589,288653.846153846,-0.1615063481284218,"Austin, TX",6.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,10685.0,8264.0,77.3,0.8,546.0,6.7
78702,30.263378,-97.714483,695664.2857142857,0.3128407897793264,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,20147.0,14654.0,72.7,5.8,553.0,4.0
78703,30.293268,-97.76605,1369216.3421052631,0.5257088367198524,"Austin, TX",2.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,16738.0,12627.0,75.4,2.0,631.0,5.1
78704,30.243032,-97.765081,443312.5,-0.3489403310896852,"Austin, TX",9.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,43006.0,34234.0,79.6,2.8,1949.0,5.9
78717,30.492408,-97.748324,290333.3333333334,-0.2105815622073588,"Austin, TX",2.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,22294.0,16630.0,74.6,3.8,539.0,3.4
78719,30.195372,-97.668445,281125.0,-0.1927923387096774,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,1443.0,942.0,65.3,2.2,8.0,0.9
78721,30.269969,-97.683557,273529.4117647059,-0.6061853918264464,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,10163.0,6867.0,67.6,4.3,155.0,2.4
78722,30.289963,-97.714696,456372.5,-0.3058903282183363,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,6229.0,5037.0,80.9,3.2,218.0,4.5
78723,30.304274,-97.685715,275075.0,-0.3897315731573157,"Austin, TX",2.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,28232.0,21059.0,74.6,3.2,797.0,3.9
78724,30.292599,-97.618171,321795.08196721313,0.5062402201195114,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,17732.0,11988.0,67.6,6.2,119.0,1.1
78727,30.429937,-97.717796,464458.3333333333,1.45169244335911,"Austin, TX",2.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,25651.0,19304.0,75.3,4.9,660.0,3.6
78728,30.45417,-97.692183,522650.7941176471,0.4428952023364205,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,17007.0,13020.0,76.6,3.9,333.0,2.7
