,zip,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
64,30035,33.724452,-84.204244,110350.0,-0.5326022223282489,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
65,30038,33.66646,-84.139855,310000.0,0.0689655172413792,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
66,30041,34.204626,-84.100357,463716.2162162162,0.1445388477908802,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
67,30043,33.999276,-84.009512,218387.5,-0.4123141853365422,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
68,30044,33.922046,-84.065671,265037.5,-0.1608153013910355,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
69,30045,33.936518,-83.927669,114000.0,-0.7503315201028629,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
70,30046,33.948632,-83.995766,300000.0,0.0341261633919338,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
71,30047,33.871867,-84.112585,340000.0,0.0132618089703471,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
72,30052,33.815151,-83.893561,261666.6666666667,-0.0227435225222158,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
73,30054,33.67325,-83.871806,217750.0,-0.3401320132013201,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
74,30055,33.497411,-83.749784,288988.0,-0.006914089347079,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
75,30056,33.50025,-83.659584,335163.04347826086,0.6534658385093168,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
76,30058,33.74033,-84.108844,60148.14814814816,-0.8337043118652314,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
77,30060,33.926431,-84.541629,307636.36363636365,-0.0490767599201334,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
78,30062,34.005578,-84.468945,375414.2857142857,-0.0838857808513953,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
