,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
1071,atlanta_2017,30305,20230,14665,72.5,2.0,521,3.6
1072,atlanta_2017,30306,19568,15283,78.1,3.4,814,5.5
1073,atlanta_2017,30307,16548,12553,75.9,5.1,623,5.2
1074,atlanta_2017,30308,16119,12779,79.3,5.0,604,5.0
1075,atlanta_2017,30309,21248,17002,80.0,3.0,634,3.8
1076,atlanta_2017,30310,23798,14328,60.2,13.3,412,3.3
1077,atlanta_2017,30311,28449,16632,58.5,17.0,430,3.1
1078,atlanta_2017,30312,18483,13237,71.6,5.3,915,7.3
1079,atlanta_2017,30313,10741,5443,50.7,16.6,87,1.9
1080,atlanta_2017,30314,20864,11336,54.3,17.8,283,3.0
1081,atlanta_2017,30315,26499,14295,53.9,15.1,354,2.9
1082,atlanta_2017,30316,28013,19610,70.0,6.7,801,4.4
1083,atlanta_2017,30317,10811,7869,72.8,7.3,216,3.0
1084,atlanta_2017,30318,42254,26033,61.6,8.0,996,4.2
1085,atlanta_2017,30319,33774,24866,73.6,2.4,999,4.1
1086,atlanta_2017,30324,23625,18171,76.9,3.3,900,5.1
1087,atlanta_2017,30326,5223,4079,78.1,5.5,211,5.5
1088,atlanta_2017,30327,18401,10739,58.4,3.0,452,4.3
1089,atlanta_2017,30328,30272,21802,72.0,3.3,1179,5.6
1090,atlanta_2017,30331,50185,31019,61.8,15.4,924,3.5
1091,atlanta_2017,30332,3165,788,24.9,4.7,0,0.0
1092,atlanta_2017,30334,0,0,-,-,0,-
1093,atlanta_2017,30336,329,128,38.9,0.0,0,0.0
1094,atlanta_2017,30337,10241,6634,64.8,12.8,142,2.5
1095,atlanta_2017,30338,26540,17525,66.0,5.3,820,4.9
1096,atlanta_2017,30339,20138,15239,75.7,1.9,601,4.0
1097,atlanta_2017,30342,22653,17369,76.7,3.1,700,4.2
1098,atlanta_2017,30344,26376,17624,66.8,11.1,505,3.2
