,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
94,27588,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
95,27588,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
96,27591,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
97,27591,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
98,27591,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
99,27592,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
100,27592,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
101,27592,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
102,27593,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
103,27593,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
104,27593,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
105,27596,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
106,27596,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
107,27596,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
108,27597,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
109,27597,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
110,27597,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
111,27601,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
112,27601,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
113,27601,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
114,27602,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
115,27602,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
