,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
1058,atlanta_2015,30337,9969,6595,66.2,16.6,91,1.7
1059,atlanta_2015,30338,25623,17246,67.3,5.8,745,4.6
1060,atlanta_2015,30339,19012,14692,77.3,2.0,755,5.2
1061,atlanta_2015,30342,23575,17948,76.1,4.4,677,4.0
1062,atlanta_2015,30344,26225,17161,65.4,17.6,330,2.3
1063,atlanta_2015,30349,51831,36030,69.5,14.4,1012,3.3
1064,atlanta_2015,30350,29302,22693,77.4,7.6,914,4.4
1065,atlanta_2015,30354,12720,7699,60.5,19.0,31,0.5
1066,atlanta_2015,30363,3090,2449,79.3,7.5,115,5.1
1067,atlanta_2016,30004,45864,32576,71.0,3.3,1801,5.7
1068,atlanta_2016,30005,29128,20499,70.4,5.2,906,4.7
1069,atlanta_2016,30009,11880,8105,68.2,6.0,308,4.0
1070,atlanta_2016,30022,52051,36672,70.5,6.3,1856,5.4
1071,atlanta_2016,30024,53068,36850,69.4,4.2,1611,4.6
1072,atlanta_2016,30075,42868,29680,69.2,4.3,1192,4.2
1073,atlanta_2016,30076,33786,24465,72.4,4.3,950,4.1
1074,atlanta_2016,30092,26934,19640,72.9,7.0,779,4.3
1075,atlanta_2016,30097,35860,23989,66.9,7.1,769,3.5
1076,atlanta_2016,30213,22761,15503,68.1,7.6,379,2.6
1077,atlanta_2016,30268,7541,4495,59.6,13.1,65,1.7
1078,atlanta_2016,30291,16232,10057,62.0,15.2,399,4.7
1079,atlanta_2016,30296,21986,14631,66.5,12.0,217,1.7
1080,atlanta_2016,30303,6523,2903,44.5,22.2,71,3.1
1081,atlanta_2016,30305,19508,13740,70.4,2.6,433,3.2
1082,atlanta_2016,30306,18763,14595,77.8,3.0,750,5.3
1083,atlanta_2016,30307,16007,12035,75.2,5.0,485,4.2
1084,atlanta_2016,30308,15741,12490,79.3,5.9,565,4.8
1085,atlanta_2016,30309,21055,17210,81.7,3.2,588,3.5
1086,atlanta_2016,30310,23490,13889,59.1,16.8,356,3.1
1087,atlanta_2016,30311,28568,16376,57.3,21.1,290,2.2
1088,atlanta_2016,30312,18917,13482,71.3,8.3,718,5.8
1089,atlanta_2016,30313,10475,5373,51.3,19.2,140,3.2
1090,atlanta_2016,30314,19738,10690,54.2,18.0,356,4.1
1091,atlanta_2016,30315,26079,13429,51.5,18.0,328,3.0
1092,atlanta_2016,30316,26681,18469,69.2,8.0,758,4.5
1093,atlanta_2016,30317,10490,7596,72.4,7.1,212,3.0
1094,atlanta_2016,30318,41745,25441,60.9,9.7,903,3.9
1095,atlanta_2016,30319,33679,24846,73.8,2.6,1006,4.2
1096,atlanta_2016,30324,22975,17612,76.7,5.4,830,5.0
1097,atlanta_2016,30326,5199,4146,79.7,5.9,240,6.1
1098,atlanta_2016,30327,18290,10606,58.0,3.3,366,3.6
1099,atlanta_2016,30328,29844,20942,70.2,4.1,1247,6.2
1100,atlanta_2016,30331,48973,30357,62.0,17.2,840,3.3
1101,atlanta_2016,30332,3370,967,28.7,11.8,5,0.6
1102,atlanta_2016,30334,0,0,-,-,0,-
1103,atlanta_2016,30336,447,168,37.6,25.0,0,0.0
1104,atlanta_2016,30337,10407,6900,66.3,15.2,88,1.5
1105,atlanta_2016,30338,26365,17534,66.5,5.6,749,4.5
1106,atlanta_2016,30339,19352,14771,76.3,2.2,521,3.6
1107,atlanta_2016,30342,23203,17518,75.5,3.6,699,4.1
1108,atlanta_2016,30344,26619,17771,66.8,16.0,372,2.5
1109,atlanta_2016,30349,51546,36430,70.7,13.4,1003,3.2
1110,atlanta_2016,30350,30249,23253,76.9,6.6,1047,4.8
1111,atlanta_2016,30354,12784,7491,58.6,13.5,141,2.2
1112,atlanta_2016,30363,2927,2301,78.6,5.2,135,6.2
1113,atlanta_2017,30004,47645,34128,71.6,3.5,2028,6.2
1114,atlanta_2017,30005,29847,21045,70.5,5.6,882,4.4
1115,atlanta_2017,30009,12420,8357,67.3,6.2,337,4.3
1116,atlanta_2017,30022,52635,37116,70.5,5.2,1924,5.5
1117,atlanta_2017,30024,54654,37697,69.0,3.5,1475,4.1
1118,atlanta_2017,30075,41890,28759,68.7,3.9,1087,3.9
