,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor,average_yearly_rate_of_change,total_ARC
136,miami_2012,33187,12651,8083,63.9,12.3,89,1.3,0.18,0.17
137,miami_2013,33187,13784,8660,62.8,10.4,85,1.1,-0.15,0.17
138,miami_2014,33187,13114,8436,64.3,8.4,78,1.0,-0.09,0.17
139,miami_2015,33187,13796,8785,63.7,9.0,67,0.8,-0.2,0.17
140,miami_2016,33187,14997,9532,63.6,7.1,58,0.7,-0.12,0.17
141,miami_2017,33187,15045,9980,66.3,6.5,208,2.2,2.14,0.17
142,miami_2018,33187,15771,10525,66.7,6.6,212,2.2,0.0,0.17
143,miami_2019,33187,15929,10446,65.6,5.4,172,1.7,-0.23,0.17
144,miami_2011,33189,17641,11854,67.2,10.4,218,2.1,0.0,-0.11
145,miami_2012,33189,16581,10965,66.1,10.7,267,2.7,0.29,-0.11
146,miami_2013,33189,18007,11755,65.3,10.6,356,3.4,0.26,-0.11
147,miami_2014,33189,19148,12456,65.1,9.9,333,3.0,-0.12,-0.11
148,miami_2015,33189,19577,12635,64.5,9.5,250,2.2,-0.27,-0.11
149,miami_2016,33189,20510,13519,65.9,7.1,278,2.2,0.0,-0.11
150,miami_2017,33189,21102,14332,67.9,7.5,174,1.3,-0.41,-0.11
151,miami_2018,33189,21057,14130,67.1,5.4,76,0.6,-0.54,-0.11
152,miami_2019,33189,19896,13235,66.5,4.6,60,0.5,-0.17,-0.11
153,miami_2011,33194,5728,2835,49.5,8.2,70,2.7,0.0,-0.02
154,miami_2012,33194,6305,3064,48.6,9.7,67,2.4,-0.11,-0.02
155,miami_2013,33194,6227,2786,44.7,8.0,44,1.7,-0.29,-0.02
156,miami_2014,33194,7277,3463,47.6,7.6,0,0.0,-1.0,-0.02
157,miami_2015,33194,6465,2946,45.6,5.7,0,0.0,0.0,-0.02
158,miami_2016,33194,5976,2580,43.2,7,0,0,0.0,-0.02
159,miami_2017,33194,6333,2867,45.3,5.5,29,1.1,0.0,-0.02
